api,fetch_time,station,head_sign,projected_arrival,last_updated,door_close,scheduled_departure
MRAZZA,2023-04-30T14:30:46.154230-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:37:54-04:00,2023-04-30T14:30:40-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:30:46.353540-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:34.016161-04:00,2023-04-30T14:29:26.016161-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:31:06.681853-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:14-04:00,2023-04-30T14:31:05-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:31:06.949402-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:34.016161-04:00,2023-04-30T14:29:26.016161-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:31:27.043453-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:34-04:00,2023-04-30T14:31:20-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:31:27.330543-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:37:54.028685-04:00,2023-04-30T14:30:46.028685-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:31:46.842830-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:54-04:00,2023-04-30T14:31:45-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:31:47.053136-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:04.085520-04:00,2023-04-30T14:30:56.085520-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:32:06.174756-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:14-04:00,2023-04-30T14:32:00-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:32:06.442829-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:44.328200-04:00,2023-04-30T14:31:36.328200-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:32:26.201871-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:34-04:00,2023-04-30T14:32:20-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:32:26.397038-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:14.310809-04:00,2023-04-30T14:31:06.310809-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:32:47.200216-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:54-04:00,2023-04-30T14:32:45-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:32:47.474820-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:38:14.310809-04:00,2023-04-30T14:31:06.310809-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:33:06.245844-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:14-04:00,2023-04-30T14:33:00-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:33:06.447372-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:04.123281-04:00,2023-04-30T14:31:56.123281-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:33:27.058506-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:39-04:00,2023-04-30T14:33:25-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:33:27.337671-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:54.109748-04:00,2023-04-30T14:32:41.109748-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:33:46.275514-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38-04:00,2023-04-30T14:33:40-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:33:46.470700-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:39:54.109748-04:00,2023-04-30T14:32:41.109748-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:34:07.077684-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38-04:00,2023-04-30T14:34:05-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:34:07.282747-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:25.102024-04:00,2023-04-30T14:33:16.102024-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:34:26.320537-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38-04:00,2023-04-30T14:34:20-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:34:26.572511-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:39.137735-04:00,2023-04-30T14:33:26.137735-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:34:46.928269-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38-04:00,2023-04-30T14:34:45-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:34:47.143003-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38.132336-04:00,2023-04-30T14:33:41.132336-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:35:06.381575-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38-04:00,2023-04-30T14:35:00-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:35:06.638887-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38.145010-04:00,2023-04-30T14:34:21.145010-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:35:26.357649-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38-04:00,2023-04-30T14:35:20-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:35:26.549705-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38.145010-04:00,2023-04-30T14:34:21.145010-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:35:46.365035-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38-04:00,2023-04-30T14:35:40-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:35:46.618354-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38.150472-04:00,2023-04-30T14:35:11.150472-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:36:07.290800-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:37-04:00,2023-04-30T14:36:05-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:36:07.518831-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38.422260-04:00,2023-04-30T14:35:06.422260-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:36:27.403808-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38-04:00,2023-04-30T14:36:25-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:36:27.658807-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38.422260-04:00,2023-04-30T14:35:06.422260-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:36:47.144923-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38-04:00,2023-04-30T14:36:40-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:36:47.396403-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38.178743-04:00,2023-04-30T14:36:06.178743-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:37:07.141062-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38-04:00,2023-04-30T14:37:00-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:37:07.416463-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38.178743-04:00,2023-04-30T14:36:06.178743-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:37:27.390979-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:37-04:00,2023-04-30T14:37:25-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:37:27.605034-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38.255802-04:00,2023-04-30T14:36:36.255802-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:37:47.369759-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:39-04:00,2023-04-30T14:37:45-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:37:47.571375-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38.271217-04:00,2023-04-30T14:36:26.271217-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:38:07.345590-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38-04:00,2023-04-30T14:38:00-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
OFFICIAL,2023-04-30T14:38:07.554151-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38.271217-04:00,2023-04-30T14:36:26.271217-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
MRAZZA,2023-04-30T14:38:27.241732-04:00,HOBOKEN,33rd Street via Hoboken,2023-04-30T14:40:38-04:00,2023-04-30T14:38:25-04:00,2023-04-30T14:41:44-04:00,2023-04-30T14:39:00-04:00
